#名稱;防禦力;火,水,雷,冰,龍;四級鑲嵌槽,三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能;技能名稱1,數量,技能名稱2,數量,...
# 131 裝備
頭：
精英麒麟角α;172;-3,-2,+4,-2,+2;0,1,0,1;幻獸的神秘;跑者,2,精靈加護,2
精英麒麟角β;172;-3,-2,+4,-2,+2;1,0,0,2;幻獸的神秘;跑者,2
精英觸角頭盔α;176;-3,+4,+3,+0,-2;0,0,0,1;溟波龍的神秘;體術,3,精神抖擻,1
精英觸角頭盔β;176;-3,+4,+3,+0,-2;1,0,0,0;溟波龍的神秘;體術,2,精神抖擻,1
精英迦樓羅頭盔α;180;+0,-2,+3,+3,+0;0,1,0,1;天地煌啼龍的神秘;體力回復量UP,2,破壞王,1
精英迦樓羅頭盔β;180;+0,-2,+3,+3,+0;1,0,1,0;天地煌啼龍的神秘;體力回復量UP,2
精英鑄島熔岩頭飾α;178;+4,-3,-1,-2,-3;0,0,2,0;熔山龍的真髓;減輕膽怯,1,砲術,2
精英鑄島熔岩頭飾β;178;+4,-3,-1,-2,-3;1,0,1,1;熔山龍的真髓;減輕膽怯,1
精英黑狼鳥頭盔α;178;+2,-3,+2,-2,-2;0,1,0,0;(無);看破,2,怨恨,1
精英黑狼鳥頭盔β;178;+2,-3,+2,-2,-2;1,0,1,0;(無);看破,1,怨恨,1
精英雷狼龍頭盔α;182;-1,-1,+4,-4,+1;0,0,0,1;雷狼龍的真髓;強化持續,2,超會心,1
精英雷狼龍頭盔β;182;-1,-1,+4,-4,+1;1,0,0,0;雷狼龍的真髓;強化持續,1,超會心,1
精英金色毛髮α;182;+2,+0,+3,-5,+2;0,0,0,0;金獅子的怒氣;弱點特效,2,匠,2
精英金色毛髮β;182;+2,+0,+3,-5,+2;1,0,0,1;金獅子的怒氣;弱點特效,2
精英獄狼龍頭盔α;184;+2,-4,-5,+0,+4;0,0,1,1;雷狼龍的真髓;力量解放,3,耐震,2
精英獄狼龍頭盔β;184;+2,-4,-5,+0,+4;1,0,0,1;雷狼龍的真髓;力量解放,3,耐震,1
精英龍紋刻印封冠α;186;+2,+1,+1,+1,-1;0,0,1,2;冥赤龍的封印;迴避性能,2,超會心,1
精英龍紋刻印封冠β;186;+2,+1,+1,+1,-1;1,0,0,2;冥赤龍的封印;迴避性能,1,超會心,1
精英風火輪頭飾α;158;+1,+1,+1,+4,+1;1,0,0,0;萬福的祝福;看破,3
精英阿斯特拉頭紗α;178;+2,+2,+2,+2,+2;1,0,0,0;大感謝的祝福;廣域化,3
精英薔薇頭飾α;202;+4,+1,+1,+1,+1;0,1,1,1;盛放之祝福;不屈,1
精英溫泉銀猴α;178;+0,+0,+0,+5,+0;0,0,1,1;(無);體力回復量UP,2
精英企鵝頭套α;176;-1,+3,+0,+4,+0;1,0,0,0;(無);迴避性能,2
精英封印的龍骸布α;178;-3,+0,+0,+1,+5;2,0,0,0;(無);怨恨,2
精英龍人族之耳α;178;+1,+1,+1,+1,+5;1,0,0,0;(無);最愛菇類,2,環境利用知識,1
